Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items/229,1,238,238,238,238,238,238,238,0.000%,4.20168,1.88,0.79
PUT /api/items/792,1,238,238,238,238,238,238,238,0.000%,4.20168,1.88,1.23
GET /api/items/751,1,230,230,230,230,230,230,230,0.000%,4.34783,1.94,0.82
GET /api/items/675,1,243,243,243,243,243,243,243,0.000%,4.11523,1.84,0.77
GET /api/items/309,2,234,228,241,241,241,228,241,0.000%,.20435,0.09,0.04
PUT /api/items/131,2,235,231,240,240,240,231,240,0.000%,.22005,0.10,0.06
GET /api/items/118,2,231,229,233,233,233,229,233,0.000%,.17581,0.08,0.03
PUT /api/items/819,1,251,251,251,251,251,251,251,0.000%,3.98406,1.78,1.16
GET /api/items/731,1,248,248,248,248,248,248,248,0.000%,4.03226,1.80,0.76
GET /api/items/297,1,231,231,231,231,231,231,231,0.000%,4.32900,1.94,0.81
GET /api/items/328,1,221,221,221,221,221,221,221,0.000%,4.52489,2.02,0.85
PUT /api/items/983,1,247,247,247,247,247,247,247,0.000%,4.04858,1.81,1.18
PUT /api/items/451,1,228,228,228,228,228,228,228,0.000%,4.38596,1.96,1.28
GET /api/items/770,1,233,233,233,233,233,233,233,0.000%,4.29185,1.92,0.80
GET /api/items/782,1,223,223,223,223,223,223,223,0.000%,4.48430,2.01,0.84
PUT /api/items/172,1,230,230,230,230,230,230,230,0.000%,4.34783,1.94,1.27
GET /api/items/970,1,228,228,228,228,228,228,228,0.000%,4.38596,1.96,0.82
PUT /api/items/882,1,230,230,230,230,230,230,230,0.000%,4.34783,1.94,1.27
GET /api/items/412,1,226,226,226,226,226,226,226,0.000%,4.42478,1.98,0.83
GET /api/items/802,1,229,229,229,229,229,229,229,0.000%,4.36681,1.95,0.82
GET /api/items/486,1,246,246,246,246,246,246,246,0.000%,4.06504,1.82,0.76
PUT /api/items/061,1,225,225,225,225,225,225,225,0.000%,4.44444,1.98,1.30
GET /api/items/801,1,229,229,229,229,229,229,229,0.000%,4.36681,1.95,0.82
PUT /api/items/503,2,251,247,255,255,255,247,255,0.000%,.73746,0.33,0.22
PUT /api/items/622,1,228,228,228,228,228,228,228,0.000%,4.38596,1.96,1.28
GET /api/items/795,1,247,247,247,247,247,247,247,0.000%,4.04858,1.81,0.76
GET /api/items/718,1,244,244,244,244,244,244,244,0.000%,4.09836,1.83,0.77
GET /api/items/197,1,219,219,219,219,219,219,219,0.000%,4.56621,2.04,0.86
PUT /api/items/774,1,236,236,236,236,236,236,236,0.000%,4.23729,1.90,1.24
GET /api/items/053,1,233,233,233,233,233,233,233,0.000%,4.29185,1.91,0.80
PUT /api/items/666,1,227,227,227,227,227,227,227,0.000%,4.40529,1.97,1.29
PUT /api/items/797,1,236,236,236,236,236,236,236,0.000%,4.23729,1.90,1.24
GET /api/items/285,1,226,226,226,226,226,226,226,0.000%,4.42478,1.98,0.83
GET /api/items/017,1,220,220,220,220,220,220,220,0.000%,4.54545,2.03,0.85
GET /api/items/367,1,222,222,222,222,222,222,222,0.000%,4.50450,2.01,0.84
