Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items/605,2,124,111,138,138,138,111,138,0.000%,.05228,0.03,0.01
PUT /api/items/183,2,149,120,179,179,179,120,179,0.000%,.15004,0.08,0.04
PUT /api/items/404,1,122,122,122,122,122,122,122,0.000%,8.19672,4.12,2.36
GET /api/items/917,1,123,123,123,123,123,123,123,0.000%,8.13008,4.09,1.49
GET /api/items/073,1,110,110,110,110,110,110,110,0.000%,9.09091,4.56,1.67
PUT /api/items/391,1,112,112,112,112,112,112,112,0.000%,8.92857,4.48,2.57
GET /api/items/167,1,99,99,99,99,99,99,99,0.000%,10.10101,5.08,1.85
PUT /api/items/982,2,145,109,182,182,182,109,182,0.000%,.08228,0.04,0.02
GET /api/items/521,2,132,122,142,142,142,122,142,0.000%,.31442,0.16,0.06
PUT /api/items/879,2,112,105,120,120,120,105,120,0.000%,.14113,0.07,0.04
PUT /api/items/070,1,111,111,111,111,111,111,111,0.000%,9.00901,4.52,2.60
GET /api/items/148,1,139,139,139,139,139,139,139,0.000%,7.19424,3.62,1.32
GET /api/items/391,1,108,108,108,108,108,108,108,0.000%,9.25926,4.66,1.70
PUT /api/items/288,2,142,136,149,149,149,136,149,0.000%,.05424,0.03,0.02
PUT /api/items/273,1,106,106,106,106,106,106,106,0.000%,9.43396,4.74,2.72
PUT /api/items/079,2,143,107,180,180,180,107,180,0.000%,.10155,0.05,0.03
GET /api/items/538,2,116,92,140,140,140,92,140,0.000%,.07472,0.04,0.01
GET /api/items/053,1,158,158,158,158,158,158,158,0.000%,6.32911,3.18,1.16
GET /api/items/483,1,107,107,107,107,107,107,107,0.000%,9.34579,4.70,1.72
GET /api/items/098,1,116,116,116,116,116,116,116,0.000%,8.62069,4.33,1.58
PUT /api/items/855,1,117,117,117,117,117,117,117,0.000%,8.54701,4.30,2.46
PUT /api/items/543,1,95,95,95,95,95,95,95,0.000%,10.52632,5.29,3.03
GET /api/items/804,1,138,138,138,138,138,138,138,0.000%,7.24638,3.64,1.33
PUT /api/items/781,1,153,153,153,153,153,153,153,0.000%,6.53595,3.29,1.88
PUT /api/items/369,1,120,120,120,120,120,120,120,0.000%,8.33333,4.19,2.40
GET /api/items/682,2,159,138,181,181,181,138,181,0.000%,.05753,0.03,0.01
GET /api/items/591,2,157,152,162,162,162,152,162,0.000%,.32696,0.16,0.06
GET /api/items/414,1,126,126,126,126,126,126,126,0.000%,7.93651,3.99,1.46
PUT /api/items/104,1,119,119,119,119,119,119,119,0.000%,8.40336,4.23,2.42
PUT /api/items/897,2,178,150,206,206,206,150,206,0.000%,.11677,0.06,0.03
PUT /api/items/446,1,90,90,90,90,90,90,90,0.000%,11.11111,5.59,3.20
GET /api/items/320,2,194,166,223,223,223,166,223,0.000%,.29595,0.15,0.05
PUT /api/items/552,1,105,105,105,105,105,105,105,0.000%,9.52381,4.79,2.74
GET /api/items/494,2,111,109,113,113,113,109,113,0.000%,.15977,0.08,0.03
GET /api/items/156,2,97,93,101,101,101,93,101,0.000%,.05293,0.03,0.01
PUT /api/items/006,1,144,144,144,144,144,144,144,0.000%,6.94444,3.48,2.00
GET /api/items/169,1,103,103,103,103,103,103,103,0.000%,9.70874,4.88,1.78
PUT /api/items/175,2,159,107,211,211,211,107,211,0.000%,.06158,0.03,0.02
GET /api/items/704,3,136,140,153,153,153,117,153,0.000%,.11236,0.06,0.02
PUT /api/items/731,2,130,103,157,157,157,103,157,0.000%,.07178,0.04,0.02
GET /api/items/1000,2,141,108,174,174,174,108,174,0.000%,.16361,0.08,0.03
GET /api/items/939,1,129,129,129,129,129,129,129,0.000%,7.75194,3.90,1.42
GET /api/items/954,3,128,130,143,143,143,111,143,0.000%,.08778,0.04,0.02
PUT /api/items/315,2,155,145,166,166,166,145,166,0.000%,.33462,0.17,0.10
PUT /api/items/174,1,101,101,101,101,101,101,101,0.000%,9.90099,4.98,2.85
GET /api/items/619,1,112,112,112,112,112,112,112,0.000%,8.92857,4.49,1.64
PUT /api/items/786,2,109,81,138,138,138,81,138,0.000%,.05255,0.03,0.02
PUT /api/items/777,1,117,117,117,117,117,117,117,0.000%,8.54701,4.30,2.46
GET /api/items/339,1,97,97,97,97,97,97,97,0.000%,10.30928,5.18,1.89
GET /api/items/606,2,143,142,145,145,145,142,145,0.000%,.12399,0.06,0.02
PUT /api/items/881,2,161,161,161,161,161,161,161,0.000%,.09485,0.05,0.03
PUT /api/items/519,1,113,113,113,113,113,113,113,0.000%,8.84956,4.45,2.55
GET /api/items/115,1,128,128,128,128,128,128,128,0.000%,7.81250,3.93,1.43
GET /api/items/276,1,123,123,123,123,123,123,123,0.000%,8.13008,4.09,1.49
GET /api/items/130,4,160,94,272,272,272,79,272,0.000%,.09950,0.05,0.02
PUT /api/items/569,2,128,96,160,160,160,96,160,0.000%,.05762,0.03,0.02
PUT /api/items/905,1,111,111,111,111,111,111,111,0.000%,9.00901,4.53,2.60
GET /api/items/621,4,153,140,208,208,208,113,208,0.000%,.16172,0.08,0.03
GET /api/items/424,3,147,146,157,157,157,139,157,0.000%,.09372,0.05,0.02
GET /api/items/189,1,115,115,115,115,115,115,115,0.000%,8.69565,4.37,1.60
GET /api/items/415,4,153,135,183,183,183,121,183,0.000%,.11056,0.06,0.02
PUT /api/items/671,1,169,169,169,169,169,169,169,0.000%,5.91716,2.98,1.70
PUT /api/items/214,2,131,130,132,132,132,130,132,0.000%,5.64972,2.84,1.63
PUT /api/items/970,1,112,112,112,112,112,112,112,0.000%,8.92857,4.49,2.57
GET /api/items/184,4,176,159,200,200,200,148,200,0.000%,.12599,0.06,0.02
GET /api/items/491,2,196,163,230,230,230,163,230,0.000%,.17403,0.09,0.03
GET /api/items/812,1,132,132,132,132,132,132,132,0.000%,7.57576,3.81,1.39
PUT /api/items/463,3,168,179,191,191,191,136,191,0.000%,.13584,0.07,0.04
PUT /api/items/683,1,94,94,94,94,94,94,94,0.000%,10.63830,5.34,3.06
GET /api/items/450,1,128,128,128,128,128,128,128,0.000%,7.81250,3.93,1.43
PUT /api/items/653,1,115,115,115,115,115,115,115,0.000%,8.69565,4.37,2.51
PUT /api/items/390,2,132,120,145,145,145,120,145,0.000%,.21911,0.11,0.06
GET /api/items/310,2,125,112,139,139,139,112,139,0.000%,.07353,0.04,0.01
PUT /api/items/421,1,150,150,150,150,150,150,150,0.000%,6.66667,3.35,1.92
GET /api/items/216,3,143,166,183,183,183,82,183,0.000%,.08165,0.04,0.01
GET /api/items/436,2,132,121,143,143,143,121,143,0.000%,.05983,0.03,0.01
PUT /api/items/845,1,109,109,109,109,109,109,109,0.000%,9.17431,4.61,2.64
GET /api/items/271,2,128,123,134,134,134,123,134,0.000%,.10443,0.05,0.02
PUT /api/items/272,2,170,165,175,175,175,165,175,0.000%,.15307,0.08,0.04
PUT /api/items/461,3,136,165,168,168,168,75,168,0.000%,.08086,0.04,0.02
GET /api/items/314,1,220,220,220,220,220,220,220,0.000%,4.54545,2.29,0.83
GET /api/items/658,3,189,182,260,260,260,126,260,0.000%,.10743,0.05,0.02
GET /api/items/241,2,161,161,161,161,161,161,161,0.000%,.06074,0.03,0.01
GET /api/items/244,1,1171,1171,1171,1171,1171,1171,1171,0.000%,.85397,0.43,0.16
GET /api/items/199,3,462,188,1020,1020,1020,178,1020,0.000%,.49611,0.25,0.09
PUT /api/items/938,2,621,87,1156,1156,1156,87,1156,0.000%,.05136,0.03,0.01
PUT /api/items/304,2,732,238,1227,1227,1227,238,1227,0.000%,.11394,0.06,0.03
GET /api/items/433,2,482,126,838,838,838,126,838,0.000%,.06197,0.03,0.01
PUT /api/items/208,1,100,100,100,100,100,100,100,0.000%,10.00000,5.03,2.88
GET /api/items/762,1,93,93,93,93,93,93,93,0.000%,10.75269,5.41,1.97
PUT /api/items/351,1,113,113,113,113,113,113,113,0.000%,8.84956,4.44,2.55
PUT /api/items/093,2,129,95,163,163,163,95,163,0.000%,.11260,0.06,0.03
PUT /api/items/567,1,123,123,123,123,123,123,123,0.000%,8.13008,4.09,2.34
GET /api/items/926,1,135,135,135,135,135,135,135,0.000%,7.40741,3.72,1.36
GET /api/items/460,1,122,122,122,122,122,122,122,0.000%,8.19672,4.12,1.50
PUT /api/items/385,4,174,172,226,226,226,126,226,0.000%,.12320,0.06,0.04
GET /api/items/398,2,189,185,194,194,194,185,194,0.000%,.51230,0.26,0.09
GET /api/items/705,1,216,216,216,216,216,216,216,0.000%,4.62963,2.33,0.85
PUT /api/items/746,2,144,108,181,181,181,108,181,0.000%,.05672,0.03,0.02
GET /api/items/687,2,161,143,179,179,179,143,179,0.000%,.12709,0.06,0.02
PUT /api/items/374,1,226,226,226,226,226,226,226,0.000%,4.42478,2.23,1.27
GET /api/items/730,2,162,161,163,163,163,161,163,0.000%,.06156,0.03,0.01
GET /api/items/496,1,275,275,275,275,275,275,275,0.000%,3.63636,1.84,0.67
GET /api/items/723,2,184,184,185,185,185,184,185,0.000%,.08350,0.04,0.02
GET /api/items/850,2,135,134,136,136,136,134,136,0.000%,.06217,0.03,0.01
GET /api/items/899,2,155,141,169,169,169,141,169,0.000%,.07440,0.04,0.01
PUT /api/items/587,2,186,165,208,208,208,165,208,0.000%,.15990,0.08,0.05
PUT /api/items/761,2,123,93,154,154,154,93,154,0.000%,.05762,0.03,0.02
