Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PUT /api/items/667,1,109,109,109,109,109,109,109,0.000%,9.17431,4.00,2.63
GET /api/items/766,1,137,137,137,137,137,137,137,0.000%,7.29927,3.18,1.33
PUT /api/items/837,1,140,140,140,140,140,140,140,0.000%,7.14286,3.11,2.05
PUT /api/items/596,1,107,107,107,107,107,107,107,0.000%,9.34579,4.07,2.68
GET /api/items/457,1,108,108,108,108,108,108,108,0.000%,9.25926,4.02,1.69
PUT /api/items/880,3,105,108,109,109,109,99,109,0.000%,1.31119,0.57,0.38
PUT /api/items/411,1,124,124,124,124,124,124,124,0.000%,8.06452,3.50,2.32
GET /api/items/544,1,122,122,122,122,122,122,122,0.000%,8.19672,3.57,1.50
PUT /api/items/190,1,107,107,107,107,107,107,107,0.000%,9.34579,4.07,2.68
PUT /api/items/106,1,99,99,99,99,99,99,99,0.000%,10.10101,4.40,2.90
PUT /api/items/745,1,99,99,99,99,99,99,99,0.000%,10.10101,4.40,2.90
PUT /api/items/770,1,107,107,107,107,107,107,107,0.000%,9.34579,4.07,2.68
GET /api/items/825,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,1.98
PUT /api/items/612,1,108,108,108,108,108,108,108,0.000%,9.25926,4.03,2.66
GET /api/items/124,1,106,106,106,106,106,106,106,0.000%,9.43396,4.11,1.72
GET /api/items/061,1,105,105,105,105,105,105,105,0.000%,9.52381,4.12,1.74
GET /api/items/630,1,122,122,122,122,122,122,122,0.000%,8.19672,3.57,1.50
GET /api/items/927,1,120,120,120,120,120,120,120,0.000%,8.33333,3.63,1.52
PUT /api/items/164,1,105,105,105,105,105,105,105,0.000%,9.52381,4.15,2.73
GET /api/items/621,1,106,106,106,106,106,106,106,0.000%,9.43396,4.11,1.72
PUT /api/items/070,1,108,108,108,108,108,108,108,0.000%,9.25926,4.02,2.66
GET /api/items/250,1,106,106,106,106,106,106,106,0.000%,9.43396,4.11,1.72
PUT /api/items/924,1,90,90,90,90,90,90,90,0.000%,11.11111,4.84,3.19
PUT /api/items/876,1,88,88,88,88,88,88,88,0.000%,11.36364,4.95,3.26
PUT /api/items/312,1,109,109,109,109,109,109,109,0.000%,9.17431,4.00,2.63
GET /api/items/465,1,87,87,87,87,87,87,87,0.000%,11.49425,5.01,2.10
GET /api/items/003,1,85,85,85,85,85,85,85,0.000%,11.76471,5.10,2.15
PUT /api/items/295,1,108,108,108,108,108,108,108,0.000%,9.25926,4.03,2.66
GET /api/items/502,1,93,93,93,93,93,93,93,0.000%,10.75269,4.68,1.96
PUT /api/items/931,1,92,92,92,92,92,92,92,0.000%,10.86957,4.72,3.12
PUT /api/items/791,1,81,81,81,81,81,81,81,0.000%,12.34568,5.38,3.54
GET /api/items/169,1,96,96,96,96,96,96,96,0.000%,10.41667,4.54,1.90
GET /api/items/541,1,82,82,82,82,82,82,82,0.000%,12.19512,5.30,2.23
GET /api/items/155,1,104,104,104,104,104,104,104,0.000%,9.61538,4.19,1.76
PUT /api/items/842,1,81,81,81,81,81,81,81,0.000%,12.34568,5.38,3.54
GET /api/items/935,1,102,102,102,102,102,102,102,0.000%,9.80392,4.27,1.79
PUT /api/items/761,1,106,106,106,106,106,106,106,0.000%,9.43396,4.11,2.71
PUT /api/items/709,1,92,92,92,92,92,92,92,0.000%,10.86957,4.72,3.12
PUT /api/items/505,1,109,109,109,109,109,109,109,0.000%,9.17431,4.00,2.63
GET /api/items/524,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,1.98
GET /api/items/298,1,90,90,90,90,90,90,90,0.000%,11.11111,4.84,2.03
PUT /api/items/051,1,101,101,101,101,101,101,101,0.000%,9.90099,4.29,2.84
PUT /api/items/512,1,79,79,79,79,79,79,79,0.000%,12.65823,5.07,3.63
PUT /api/items/765,1,79,79,79,79,79,79,79,0.000%,12.65823,5.51,3.63
GET /api/items/308,1,79,79,79,79,79,79,79,0.000%,12.65823,5.51,2.31
PUT /api/items/551,1,83,83,83,83,83,83,83,0.000%,12.04819,5.25,3.46
GET /api/items/506,1,93,93,93,93,93,93,93,0.000%,10.75269,4.67,1.96
GET /api/items/048,1,91,91,91,91,91,91,91,0.000%,10.98901,4.78,2.01
GET /api/items/709,1,94,94,94,94,94,94,94,0.000%,10.63830,4.26,1.94
GET /api/items/129,1,91,91,91,91,91,91,91,0.000%,10.98901,4.79,2.01
PUT /api/items/695,1,93,93,93,93,93,93,93,0.000%,10.75269,4.68,3.09
GET /api/items/510,1,93,93,93,93,93,93,93,0.000%,10.75269,4.68,1.96
PUT /api/items/981,1,103,103,103,103,103,103,103,0.000%,9.70874,4.22,2.79
TOTAL,5000,128,128,146,153,165,75,1144,0.000%,83.95319,7802.76,17.86
